,held_out_loss,model,n_datapoints
0,0.000583084998652339,win_probs,20000
1,0.00048665498616173863,win_probs,40000
2,0.00042945495806634426,win_probs,60000
3,0.00037887366488575935,win_probs,100000
4,0.00040690897731110454,win_probs,80000
5,0.0008059940882958472,unconstrained,20000
6,0.0007953101885505021,unconstrained,40000
7,0.0007858191966079175,unconstrained,60000
8,0.0007549081346951425,unconstrained,100000
9,0.000819118635263294,unconstrained,80000
10,0.0005922253476455808,win_probs,20000
11,0.0004666243912652135,win_probs,40000
12,0.0004369027737993747,win_probs,60000
13,0.0003680008230730891,win_probs,100000
14,0.0004085866967216134,win_probs,80000
15,0.0009335737559013069,unconstrained,20000
16,0.0007934998720884323,unconstrained,40000
17,0.0007813890697434545,unconstrained,60000
18,0.0007852870621718466,unconstrained,100000
19,0.0008058219682425261,unconstrained,80000
20,0.0005779525963589549,win_probs,20000
21,0.00047505562542937696,win_probs,40000
22,0.00041425469680689275,win_probs,60000
23,0.0003428725467529148,win_probs,100000
24,0.0003888448409270495,win_probs,80000
25,0.0009192951256409287,unconstrained,20000
26,0.0008561354479752481,unconstrained,40000
27,0.0007966883713379502,unconstrained,60000
28,0.0008328101830556989,unconstrained,100000
29,0.000796826439909637,unconstrained,80000
30,0.000593761564232409,win_probs,20000
31,0.0004895241581834853,win_probs,40000
32,0.0004364706401247531,win_probs,60000
33,0.00036206893855705857,win_probs,100000
34,0.00040861807065084577,win_probs,80000
35,0.0008705465006642044,unconstrained,20000
36,0.0007735666004009545,unconstrained,40000
37,0.0007363951881416142,unconstrained,60000
38,0.0007565950509160757,unconstrained,100000
39,0.0007954881875775754,unconstrained,80000
40,0.0005830867448821664,win_probs,20000
41,0.0004891331191174686,win_probs,40000
42,0.0004441028868313879,win_probs,60000
43,0.00037951371632516384,win_probs,100000
44,0.0004016624588984996,win_probs,80000
45,0.0009302904363721609,unconstrained,20000
46,0.0008149102795869112,unconstrained,40000
47,0.00085050193592906,unconstrained,60000
48,0.000886153953615576,unconstrained,100000
49,0.0008203997276723385,unconstrained,80000
